id,profile_pic_url,full_name,occupation,headline,summary,1st Recent Experience in Years,Experience,Category 1,Category 2,Category 3
speaker_10,https://media-exp1.licdn.com/dms/image/C5603AQEBcNVFEhU5uA/profile-displayphoto-shrink_200_200/0/1601197449476?e=1652918400&v=beta&t=LFM6348jAfKs52YydIneoIcSCiK2WyMU5iBM5BCKetU,Aamir Hasnat,"Policy Specialist, Legal Investigations at Google","Policy Specialist II, Legal Investigations at Google",,5.304109589041096,"Policy Specialist, Legal Investigations",Politics,,
speaker_11,https://media-exp1.licdn.com/dms/image/C4E03AQHT85ySizRI9Q/profile-displayphoto-shrink_200_200/0/1571077358478?e=1652918400&v=beta&t=ZXFBr2WMrgdxHcOI6TVRpn9t__5pywPr3shRedYHriQ,Aaron Castelo,"Director, State Government Affairs at NAPEO - The National Association of Professional Employer Organizations",State Government Relations Professional,"Government relations professional who specializes in association and non-profit advocacy.   Skilled in grassroots organizing, government, media relations, and policy analysis.",1.4109589041095891,"Director, State Government Affairs",Politics,,
speaker_12,https://media-exp1.licdn.com/dms/image/C4D03AQH6Ji2FVHxyGA/profile-displayphoto-shrink_200_200/0/1583705968356?e=1652918400&v=beta&t=H0sBsQ80Kquckb1x8glp-v2_BKhcr7GJ4ZNa1h_XPv4,Ayoub EL GHORMLI,E-commerce Campaign Manager at Huawei Consumer Business Group,E-commerce Campaign Manager at Huawei Consumer Business Group,,2.964383561643836,E-commerce Campaign Manager,Politics,,
speaker_13,https://media-exp1.licdn.com/dms/image/C4D03AQHRIS7u9jWAEA/profile-displayphoto-shrink_200_200/0/1609094751382?e=1652918400&v=beta&t=OGkMbqDykd474cHm0F5PSuNkVYuGqc0mrIJfo6Lkr5I,Aalima Charania,Policy Intern at Rails-To-Trails Conservancy,Policy Intern at Rails-To-Trails Conservancy,,2.1315068493150684,Policy Intern,Politics,,
speaker_14,https://media-exp1.licdn.com/dms/image/C5603AQHrQ0C3vlKFMg/profile-displayphoto-shrink_200_200/0/1640710404867?e=1652918400&v=beta&t=0cN6xT6rGTL-qPVw96xmBU2vQyE5BvizMfEd8cBTuIw,Alana Kim,Policy Analyst at Reinvestment Fund,Policy Analyst at Reinvestment Fund,,5.304109589041096,Policy Analyst,Politics,,
speaker_15,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Amanda Bryant,Freelance Publicist and Social Media Campaign Manager at TMG International,Social Media & Email Marketing • PR • Brand Strategy,"A meticulous, adaptable, and ambitious marketer with a passion for enhancing brands’ digital footprints via social media, email campaigns, public relations, and influencer marketing.

5+ years of experience in jobs specializing in both traditional and digital marketing gives a diverse skill set that’s hard to duplicate combined with a tenacious, go-getter attitude.


aa.bryant10@gmail.com",4.3863013698630136,Freelance Publicist and Social Media Campaign Manager,Politics,Media & News,
speaker_16,https://media-exp1.licdn.com/dms/image/C4E03AQEnVNaaPcklng/profile-displayphoto-shrink_200_200/0/1545085362802?e=2147483647&v=beta&t=bOF1u7-ERTJiSTA6SjEZWKmp_iqZOG68JQqgOCzuVYU,Alison Peebles Madigan,Senior Manager of Government Product Analytics at UPMC,Data Scientist | Data Engineer | Project Manager | Coach | Problem Solver,"Data scientist, educator, and a lifelong learner. I specialize in translating complex analysis into accessible answers. I am passionate about finding solutions, investing in people, and asking the right questions. I have a demonstrated history in process improvement and program innovation.",2.468493150684932,Senior Manager of Government Product Analytics,Politics,,
speaker_17,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Andrew Perry,Senior Policy Analyst at FPWA,Senior Policy Analyst at FPWA,,2.2164383561643834,Senior Policy Analyst,Politics,,
speaker_18,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,"Alan Jarandilla Nuñez, JD, MSc",Director of Policy and Advocacy at International Youth Alliance for Family Planning,Human Rights Defender and Director of Policy and Advocacy at IYAFP,,5.304109589041096,Director of Policy and Advocacy,Politics,,
speaker_19,https://media-exp1.licdn.com/dms/image/C4E03AQFwSVelMv5gdQ/profile-displayphoto-shrink_200_200/0/1620167218315?e=1652918400&v=beta&t=eXJtNV8nReIbqzFkkFpppL8TsmfvZP3eGfJxFL3VlA4,Anthony Alcivar,Government Relations Intern at Indiana University,Government Relations Intern at Indiana University,"I'm currently a third-year law student at Indiana University Maurer School of Law. I earned a Bachelor's Degree in Business Management from Columbus State University before attending law school. I have an interest in government practice, legislation, and public interest, particularly in the area of immigration law.",1.797260273972603,Government Relations Intern,Politics,,
speaker_20,https://media-exp1.licdn.com/dms/image/C4E03AQFCstEgZyoODg/profile-displayphoto-shrink_200_200/0/1516682310971?e=2147483647&v=beta&t=aNLGxST6wSYPIzo-W7I6xg8wT_Vep5_clt9kGJobqec,Aaron Smith,Chief of Staff for Data and Justice Policy​ at Meadows Mental Health Policy Institute,Chief of Staff for Data and Justice Policy at Meadows Mental Health Policy Institute,,3.8,Chief of Staff for Data and Justice Policy​,Politics,Tech,
speaker_21,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Aamir Mohammed,Global Partner Policy Specialist at Google,Global Policy Solutions | gTech | Google,,1.797260273972603,Global Partner Policy Specialist,Politics,,
speaker_22,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,"Aaron Creel ISP, SPIPC, CPP, CISSP","Director, Government Security Programs at SpaceX",Security Executive & Advisor | Government & Commercial Sector Expert | White House Presidential Innovation Fellow,"As a security executive with more than 20 years in compliance and security policy, I bring a unique combination of experiences in government and commercial sectors.  With this dual-sided view, I help both start-up and larger companies work effectively with the government, build proper organizational structure, achieve security clearance, and anticipate future hurdles. On the other side, government partners trust my ability to recognize their uniquely positioned issues and take the lead in devising and executing complex strategy, so they can focus on the daily tactics of their critical roles.

My collaboration approach includes finding connection points with team members and customers across all levels and functions to build rapport, earn trust, and gain an intimate understanding of an organization through the eyes of its people. I take this macro level approach to identify what a business/institution is dealing with and how that plays into the larger picture of its mission, so I can deliver specialized knowledge and open new perspectives around government and security topics.  

From working with cross-cultural teams to understanding the geopolitical climate of various regions, the work I do is inherently global in nature and I believe joining forces with people of varying backgrounds, viewpoints, and areas of expertise is a catalyst to real game-changing innovation and impact.  

I consider my recent selection as a Class of 2021 Presidential Innovation Fellow the culmination of my career success. As an “entrepreneur in residence” for one year, I was chosen for executive-level expertise, innovation, influence, and problem-solving dexterity. I am honored to be part of a group of industry and government thought leaders trusted to strategize solutions to the nation’s toughest challenges and improve the lives of the public.",2.0493150684931507,"Director, Government Security Programs",Politics,,
speaker_23,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,"Alberto A. González, Jr., MPP","Senior Project Manager, Health Policy at UnidosUS (formerly National Council of La Raza)","Senior Project Manager, Health Policy at UnidosUS (formerly National Council of La Raza)",,2.797260273972603,"Senior Project Manager, Health Policy",Politics,Healthcare,
speaker_24,https://media-exp1.licdn.com/dms/image/C4D03AQEysjOAF4YGEw/profile-displayphoto-shrink_200_200/0/1645476110090?e=2147483647&v=beta&t=6EXkodbZtsWPfKWxn5Z4URisXZeNXRScuQhcBte4Fyw,Alex Anacki,"Program Associate, Policy and Communications at Higher Learning Advocates","Program Associate, Policy and Communications at Higher Learning Advocates",Policy and research professional advocating for today's students.,1.7123287671232876,"Program Associate, Policy and Communications",Politics,,
speaker_25,https://media-exp1.licdn.com/dms/image/C5103AQFnZ8Xp4VEPQQ/profile-displayphoto-shrink_200_200/0/1516718488269?e=1652918400&v=beta&t=d3QRZD3HG1e-rs6L4aJKpjm4WRZ7vIEjOT1k7c6cFCc,Aakash Mhankale,Adobe Campaign at Adobe,Engineer at Adobe,"https://aakashmhankale-resume.herokuapp.com/
Computer Engineer graduate offering a strong foundation in software engineering and programming principles across multiple platforms.Experienced in programming; developing, testing and debugging code; designing interfaces; and administering systems and networks.Quickly learn and master new technologies; successful working in both team and self-directed settings.Innovative software engineer experienced in the full software development lifecycle – from concept through delivery of next-generation applications and customizable solutions.Expert in advanced development methodologies, tools and processes contributing to the design and rollout of cutting-edge software applications.Known for excellent troubleshooting skills – able to analyze code and engineer well-researched and responsive solutions.Strong written and verbal communications. Interested in a challenging technical track career in an application development environment.

Packages/Tools/OS: Matlab, MS Office, Eclipse, XILINX, Visual Studio, Model Sim, HSpice, LTSpice, MYSQL, Eclipse, PostgreSQL, SQLite3, MongoDB, Github, Flask, tkinter, openCV, Django 
Cloud Computing: Azur, AWS, Git, Heroku OS: Linux, Windows
Programing/Scripting Languages: C, C++, Embedded C, JAVA, JavaScript, React.js, Node.js, SQL, Verilog, VHDL, CSS3, HTML5, Bootstrap, No-SQL, Shell, Python, R, jQuery, AJAX, JSON, XML, Ruby on Rails, folium, Jupyter Notebook, AngularJS
Machine Learning: Linear Regression, Logistic Regression, Random Forest, K-means clustering, Naive Bayes, Support Vector Machine
•	Software Tools/Frameworks/Plugins: Matlab, Eclipse, Putty, Linux, MSSQL, MySQL, TOMCAT, Spring, Maven, Jenkins, Gulp, AngularJS, Django, ExpressJS, RESTapi, MongoDB, WordPress, Selenium, Karma
•	Programming Languages: C++, Java, Python, JavaScript, PHP, CSS, ReactJS, NodeJS, SQL, NO-SQL, HADOOP(basics), MAP-REDUCE, HTML, Kafta(Basics)",1.797260273972603,Adobe Campaign,Politics,,
speaker_26,https://media-exp1.licdn.com/dms/image/C4E03AQGc7_PS0A71Kw/profile-displayphoto-shrink_200_200/0/1527596103642?e=1652918400&v=beta&t=i7q71CPSYIa2bmOSrR05QqWA1eoHbHzeArugwUSItvM,Aaron Bryan,Sales Operations Analyst II at WP Engine,"Sales Operations Analyst II at WP Engine, the #1 platform for WordPress.","I love learning. I love to create. I love empowering others.
Data analytics has been such an amazing vehicle for empowering others to succeed by identifying the information needed to maximize their efforts and impact.
I love building tools that can answer questions that haven't been asked yet.
I am constantly learning and growing.",2.5506849315068494,Sales Operations Analyst II,Business,,
speaker_27,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Ashley Animashaun,"Advisory Associate, Finance Transformation at KPMG US","Advisory Associate, Finance Transformation | FMVA Candidate","I help companies solve problems by leveraging my comprehensive finance and banking background, entrepreneurial and strategic mindset, and superb Excel and data visualization skills to tell the story through my data driven analysis. I am passionate about math, financial literacy, and learning new things.",1.7123287671232876,"Advisory Associate, Finance Transformation",Business,,
speaker_28,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Alice Hoette,"Marketing, Communications & Business Development at Mediprocity",,,4.052054794520548,"Marketing, Communications & Business Development",Business,,
speaker_29,https://media-exp1.licdn.com/dms/image/C5603AQGYMvjRmFYi8A/profile-displayphoto-shrink_200_200/0/1516852231945?e=1652918400&v=beta&t=HQGS0hGw5F6QSSBVB6z2KeCyQUgxO8eEj3sM8yOfvNU,Aamir Anis,"Customer Relationship Management Analyst at Kontoor Brands, Inc.",CRM Analyst at Lee and Wrangler(Kontoor Brands),"I am currently working as a Digital Marketer Specialist for Airgas. My responsibilities including email marketing and automation, search engine optimization; focusing on optimizing Airgas' digital assets to help improve our organic rank and visibility, and showcase Airgas' solutions and services by maintaining a robust social presence. 

I believe that ""The Whole World is but One Country and Mankind its Citizen"", I strive to do my best to help the community grow and develop in harmony and peace - abiding my the tools of the Ruhi Institute (http://www.ruhi.org). These activities have me appreciate the community and learn deeply about cooperation and collaboration! 
 
I am a big Football(Soccer) fan, and my favorite club is Real Madrid (#HalaMadrid)!",2.2164383561643834,Customer Relationship Management Analyst,Business,,
speaker_30,https://media-exp1.licdn.com/dms/image/C4D03AQGhUtVXMRS-tA/profile-displayphoto-shrink_200_200/0/1591144436008?e=1652918400&v=beta&t=71lc_ooxTvD-Z_-QQuBRh3AFlaoP_vzruD2dE3SV4tg,Aarika Walton,Marketing Director at Freelance - Various Clients,Fashion Stylist and Art Director,"Transatlantic published stylist and content creator. I specialize in art direction and studio styling, leveraging strategic vision, business acumen, and artistic talent to deliver high-impact marketing, print-design, and ecommerce projects. In addition, I bring a high level of creative problem solving, and administrative support managing processes and projects.",5.8,Marketing Director,Business,,
speaker_31,https://media-exp1.licdn.com/dms/image/C4E03AQGUafHoHAqq_Q/profile-displayphoto-shrink_200_200/0/1540405853956?e=1652918400&v=beta&t=68m-tdxSrBC6e2Y6DvUKLBts78xhzMawsAgJznwiAJo,"Aanandita Kumar, MSHR, SHRM-CP","Senior Associate - Talent Consultant, Financial Services Organization at EY",Senior Associate - Talent Consultant at EY,"Current Senior Associate - Talent Consultant in Hudson Yards, New York City, New York. 

Masters in Science in Human Resource Management graduate from the London School of Economics and Political Science; completed the Chartered Institute of Personnel and Development certificate in London, and is a part of this professional human resource association. Bachelor's in Business Administration with a focus in Human Resource Management from Texas A&M University with an International Business minor. 

Comes from a background of working in the Human Resources sector, starting from secondary school and participating in the Human Resource category at an international level. Interested in studying how people operate in the workplace, what motivates them, and how they can be effectively managed. Has held multiple leadership positions in order to learn more about management and teamwork skills. Completed a business study abroad in Europe to study international markets, and has a deep curiosity about the impact of culture on management and the global scale of business.",2.1315068493150684,"Senior Associate - Talent Consultant, Financial Services Organization",Business,,
speaker_32,https://media-exp1.licdn.com/dms/image/C4D03AQFtg2A6ioEHBQ/profile-displayphoto-shrink_200_200/0/1627415228552?e=2147483647&v=beta&t=EQ6RNiUZwlpuMk6Kax2bv0OiYIEY9xDZSN0X2IRwyiQ,Aaron Castro Morlán,Business Analyst at Mindcurv,Business Analyst,"Desde que era pequeño supe que los ordenadores serían mi pasión. Todavía recuerdo mi primer contacto con ""uno"", en casa de un vecino, jugando al Trivial Pursuit en su Amiga.
Mientras jugaba todos y cada uno de los juegos que tenía mi vecino, me di cuenta de que el inglés sería una herramienta totalmente necesaria si alguna vez quería trabajar con ordenadores.
Cuando me di cuenta de que podría aprenderlo por mi cuenta, entendí que no debería ser sólo eso lo que aprendiese por mi cuenta, así que me puse manos a la obra para aprender otras ""skills"" que me ayudasen. 
No tuve la oportunidad de ir a la universidad pero me las he arreglado para aprender lo suficiente para poder relacionarme de igual a igual con la gente de este mundillo.
Si me lo puedo permitir, todos los días intentaré aprender un poquito de algo, lo que sea.
Aquel jovenzuelo queda ya muy lejos, hoy soy otro tipo de persona, igual de inquieta y con el mismo afán por aprender pero mucho más comprometido, perfeccionista, minucioso, entregado, dedicado, buen compañero y, por supuesto, humilde (menudo lugar para poner este adjetivo, ¿a que sí? Pero es la verdad).

Me gusta trabajar como me gusta tratar a las personas, de forma sincera y honesta. Esto hace que mi interlocutor se sienta lo suficientemente cómodo como para permitirme ayudarle con sus problemas.

He pasado por muchos puestos técnicos a lo largo de mi carrera, soporte, customer success, analista, etc. 

Todo lo anterior me permite:
- Basar mis decisiones en datos sin dejar de lado el instinto.
- Saber que el cliente o usuario es el centro de mi trabajo.
- Hacer que su satisfacción sea mi satisfacción y sus victorias mis victorias.
- Llegar a conclusiones usando un idioma técnico o ejecutivo e informar a los usuarios o clientes en su mismo lenguaje para que entiendan y aprendan un poquillo si les apetece.
- Ser un remanso de paz cuando llega la adversidad, que siempre llega.
- Prestar especial atención al detalle (Tantísimo que he conseguido convertirlo en mi hobby).
- Entender que no hay tecnología fuera de mi alcance.
- Dominar cualquier cosa que quiera hacer.
- Tomar decisiones creativas.
- Trabajar todos y cada uno de los días con una sonrisa e intentar que quien me rodea se sienta igual.

Mis especialidades son:
- Soporte.
- Customer Success.
- Product Owner/Manager.
- Team building.",1.8821917808219173,Business Analyst,Business,,
speaker_33,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,Aalisha Patel,Financial Business Analyst at Comcast,Financial Business Analyst at Comcast,"I am an MBA student having more then 5 year years of work experience as a Financial/Business Analyst on different industry.My experience and expertise in the Finance Industry and with couple solid analytical skills make me an ideal candidate . 
Below I have highlighted a few key skills that i possess. 

Proficient with QuickBooks Pro, SAGE one, Microsoft Excel, Word and PowerPoint.
Teradata, PL/SQL, R Programming, ggplot2, Tableau, Python, CSS, HTML, MS Office ,C, C++, VBA, QTP,

PeopleSoft ERP, Risk Optimizer, Monte Carlo Simulation.

Prepare and analyze operational financial data, assist with yearly financial/compliance audit request, both internal and external. 
Performance of budgeting, financial planning, delivery and governance.
Identification & remediation of risks & controls.Gather requirements and create reports/dashboards as required that will support Global Customer Operations in meeting strategic goals.
Maintain compliance processes including the creation and delivery of weekly/monthly reports/dashboards, analyzing the report data, and communicating the findings to global stakeholders.
Perform risk assessments and anticipate emerging issues on key business activities and idealize/present solutions to reduce risk to relevant audiences
Evaluate and report compliance related business performance and fulfill ad analysis requests of business owners and service delivery managers.
Use analytical skills to identify opportunities for standardization across regions and brands.
Validate report results ensuring accuracy and consistency. Work cross functionally to investigate data integrity and troubleshoot issues.",10.96986301369863,Financial Business Analyst,Business,,
speaker_34,https://media-exp1.licdn.com/dms/image/C4E03AQHPghfjzQGgBw/profile-displayphoto-shrink_200_200/0/1646121598762?e=2147483647&v=beta&t=2u1coEAOdbcWtIApKtux1TNUA2ZaqwQUgiMgZM9j-RE,Aalia M.,Social Media Business Strategist at WARTHAN DERMATOLOGY MOHS SKIN CANCER SURGERY CTR,Medical Aesthetician | Social Media Business Strategist,"I am currently a senior majoring in healthcare management in the School of Management at The University of Texas at Dallas.

Healthcare is an ever-changing field in which we are constantly learning new things. In my opinion, it is one of the beauties of the field itself. Alongside the continuous learning, a big motivator for me is building personal relationships with patients along with coworkers in the hospital setting.

From my experience, I know that most of these patients may not have much going for them or they may be in a tough spot in life. No matter their position, it is the responsibility of a healthcare professional to make them feel as if they have come to a safe place where they will be catered to and looked after 100%. Those relationships are extremely valuable to me and that is the main reason why I want to serve others in healthcare.

Although I plan on going into the administrative side of healthcare instead of the medical, I believe that I can still touch the patients’ lives through proper staffing and policies. I want to get to a top executive position one day and build a team full of caring people whom I know will serve our patients to their every need.

Healthcare should not be looked at as a business but unfortunately, money is held above peoples’ lives. I understand that this is easier said than done but hopefully my generation and the coming generations will take steps in order to approach healthcare with care first rather than money or other incentives.",2.1315068493150684,Social Media Business Strategist,Business,Media & News,
speaker_35,https://media-exp1.licdn.com/dms/image/C4E03AQEhtuQ2L5v4Cw/profile-displayphoto-shrink_200_200/0/1517683851268?e=2147483647&v=beta&t=YNTUVx3lmfKxYJcN1sD6jfHYXkQChIkwbTcZWRFEsEM,"Alison Acly, PMP",Project Management Consultant at Independent,Project Management Consultant,"Materials Engineer with 16 years of experience in innovative and dynamic medical device companies. My current focus is Project Management and Product Development.  As a Project Manager, I lead cross-functional project teams to manage product development, commercial launches, and on-going product support activities. 

Specialties: Project Management, Design Control, Product Development (Concept Initiation through Commercial Release), Preclinical Device Development (Animal Studies / Ex-Vivo Studies / Bench Testing), Nitinol Devices, SolidWorks, Salesforce, Siebel CRM, SAP.",10.64109589041096,Project Management Consultant,Business,,
speaker_36,https://media-exp1.licdn.com/dms/image/C5603AQHF-_YbzcfQpQ/profile-displayphoto-shrink_200_200/0/1520460054873?e=1652918400&v=beta&t=rhh8CAXB3RRpEfH9lZraZowOgJ-Pcpc4WA6NiN9g1PE,Andrew Ackerson,Portrait Consultant at Keane Studios,"Marketing, Media, Hospitality",,3.3013698630136985,Portrait Consultant,Business,,
speaker_37,https://media-exp1.licdn.com/dms/image/C4E03AQFfjjfyajn-_Q/profile-displayphoto-shrink_200_200/0/1590760736373?e=1652918400&v=beta&t=EkYNVFqen0k37PAqIjtxZqrp0w9n_CK66QbNs7S0g-I,Ammar Akbani,Marketing & Sales Development Manager at WatServ (A Brookfield Company),CloudFirst | Modern Work - WatServ (A Brookfield Company),"I am a business graduate from the University of Toronto. I have had a diverse set of experiences which showcase my versatility with internships in banking, advertising, hospitality and technology sectors. During this time I developed a passion for working with businesses and helping them transform, change and perform better overall. As such, I am now working at Watserv, helping businesses realize the full potential of the cloud.

Adding to my experiences are three languages learnt living in three different countries. Perhaps travelling as a kid embedded a travel bug in me, and a desire to explore the world-currently at 18 countries and counting! I enjoy cappuccinos, dark chocolate, as well as creating and consuming gastronomic delights. I am a challenging opponent in racquet sports and have a deep-rooted enthusiasm for Manchester United.

I am now looking to technically upskill and continue to learn more about my industry. Lets have a chat if we can increase our knowledge :)",2.1315068493150684,Marketing & Sales Development Manager,Business,,
speaker_38,https://media-exp1.licdn.com/dms/image/C5603AQH__eMIv5nv5A/profile-displayphoto-shrink_200_200/0/1542655987501?e=2147483647&v=beta&t=ImvtZTakpW4v5rXo0S2g7Q4jA3sweulgcNtTQFpARuE,Aakash Vats,Business Strategy Analyst at Annexus Group,Business Strategy Analyst at Annexus Group | Masters in Business Management | Member of Beta Gamma Sigma society,"I started my professional career as a Junior Consulting Analyst at AON consulting.  Being a part of a team that specialised in and focused on driving positive employee engagement and behavioural change by seeking employees’ perception of an employer’s actions directed towards motivating and inspiring employees to create a satisfied workforce that is highly productive, I was able to develop some key skills relating to quantitative analytics, data manipulation, project management and stakeholder management. 

I came to the United States to pursue my master’s degree in management from W. P. Carey school of Business in order to enhance my management and decision making skills for being able to develop and create better business strategic solutions for organizations. Post the completion of my graduate degree in May 2019, I have been working in the finance industry as a Business Strategy Analyst with Annexus Group.",4.304109589041096,Business Strategy Analyst,Business,,
speaker_39,https://static-exp1.licdn.com/sc/h/244xhbkr7g40x6bsu4gi6q4ry,"Dr. Apostolos Ampountolas, Ph.D., CQF",Assistant Professor of Finance and Revenue Management at Boston University,Assistant Professor at Boston University,,6.304109589041096,Assistant Professor of Finance and Revenue Management,Business,Academic,
speaker_40,https://media-exp1.licdn.com/dms/image/C4E03AQF3CDsxicuCAw/profile-displayphoto-shrink_200_200/0/1599767952253?e=1652918400&v=beta&t=fzrSLRbqyzaWOJnroyUngxWESGsyKSF9XAZlXrqWit0,"Aamie Benson, M.B.A., CPCC",Sr. Instructional Design Consultant | Facilitator | Performance and Success Coach at Evoke 3,Advancing companies through the strategic development of their people,"Results-oriented learning and development professional with experience in design, development and delivery of organizational learning solutions.  Proven ability to establish rapport; skilled in bringing people together, fostering positive relationships, and communicating ideas.  Skilled facilitator who is committed to advancing companies through the strategic development of their people.",8.054794520547945,Sr. Instructional Design Consultant | Facilitator | Performance and Success Coach,Business,Sport,
